nohup: ignoring input
baseline  0 0 ef 64 recall 0.92758 qps 1028.41787824636
route_priority equal_interval 10 2 ef 64 recall 0.92758 qps 805.2790038222239
route_priority equal_interval 10 2 ef 96 recall 0.94352 qps 600.202515240223
route_priority equal_interval 10 2 ef 128 recall 0.9496 qps 476.95683716077275
route_priority equal_interval 10 2 ef 192 recall 0.95548 qps 351.2959744724557
route_priority equal_interval 10 2 ef 256 recall 0.95834 qps 277.71315508190884
route_priority equal_interval 10 2 ef 460 recall 0.96282 qps 171.62488627638538
route_priority equal_interval 10 4 ef 64 recall 0.92758 qps 797.3848215072642
route_priority equal_interval 10 4 ef 96 recall 0.94352 qps 601.9442419578542
route_priority equal_interval 10 4 ef 128 recall 0.9496 qps 475.0863011162013
route_priority equal_interval 10 4 ef 192 recall 0.95548 qps 344.3789451611083
route_priority equal_interval 10 4 ef 256 recall 0.95834 qps 274.1830510632688
route_priority equal_interval 10 4 ef 460 recall 0.96282 qps 170.4828605035863
route_priority equal_interval 10 8 ef 64 recall 0.92758 qps 812.2026932284817
route_priority equal_interval 10 8 ef 96 recall 0.94352 qps 610.8855951653618
route_priority equal_interval 10 8 ef 128 recall 0.9496 qps 486.30791736655414
route_priority equal_interval 10 8 ef 192 recall 0.95548 qps 358.4938934432748
route_priority equal_interval 10 8 ef 256 recall 0.95834 qps 286.9276254066812
route_priority equal_interval 10 8 ef 460 recall 0.96282 qps 173.64588026405713
route_priority high_variance 10 2 ef 64 recall 0.92758 qps 816.1730410493922
route_priority high_variance 10 2 ef 96 recall 0.94352 qps 617.2682436605901
route_priority high_variance 10 2 ef 128 recall 0.9496 qps 490.27319641729474
route_priority high_variance 10 2 ef 192 recall 0.95548 qps 362.32428768095934
route_priority high_variance 10 2 ef 256 recall 0.95834 qps 286.9947278946248
route_priority high_variance 10 2 ef 460 recall 0.96282 qps 178.48184363999732
route_priority high_variance 10 4 ef 64 recall 0.92758 qps 815.7499379185297
route_priority high_variance 10 4 ef 96 recall 0.94352 qps 613.2995515172963
route_priority high_variance 10 4 ef 128 recall 0.9496 qps 488.85614326911383
route_priority high_variance 10 4 ef 192 recall 0.95548 qps 359.83127308244025
route_priority high_variance 10 4 ef 256 recall 0.95834 qps 284.9797174719314
route_priority high_variance 10 4 ef 460 recall 0.96282 qps 176.9439035767204
route_priority high_variance 10 8 ef 64 recall 0.92758 qps 812.1277478933655
route_priority high_variance 10 8 ef 96 recall 0.94352 qps 611.6896706170749
route_priority high_variance 10 8 ef 128 recall 0.9496 qps 486.67347741636985
