dataset,layout,centroid_count,centroid_mode,M,efConstruction,ef,k,rerank_candidates,recall,qps,avg_latency_us,p50_us,p95_us,p99_us,visited_nodes,distance_computations,prepare_query_us,traversal_us,rerank_us,total_query_us,active_centroids,bytes_per_vector,quantization_mse,average_relative_distance_error,ns_per_distance,cycles_per_distance,run_index,graph_fingerprint,index_format_version
dbpedia_openai1536,sequential,16,lazy,16,200,460,10,100,0.98182,222.446,4495.47,4497,5966,6366,6026.77,6026.77,14.4412,4200.95,279.947,4495.47,15.5812,1041,unavailable,unavailable,unavailable,unavailable,0,10578023270251871138,EXRBTQ31
dbpedia_openai1536,sequential,16,lazy,16,200,640,10,100,0.98366,172.261,5805.16,5814,7820,8402,7889.2,7889.2,14.4209,5497.9,292.676,5805.16,15.6858,1041,unavailable,unavailable,unavailable,unavailable,0,10578023270251871138,EXRBTQ31
dbpedia_openai1536,sequential,32,eager,16,200,32,10,32,0.89512,1126.34,887.831,880,1069,1215,790.292,790.292,269.819,524.8,93.2869,887.831,32,1041,unavailable,unavailable,unavailable,unavailable,0,10578023270251871138,EXRBTQ31
dbpedia_openai1536,sequential,32,eager,16,200,64,10,64,0.94186,757.259,1320.55,1315,1633,1832,1275.36,1275.36,265.777,893.796,161.014,1320.55,32,1041,unavailable,unavailable,unavailable,unavailable,0,10578023270251871138,EXRBTQ31
dbpedia_openai1536,sequential,32,eager,16,200,96,10,96,0.95868,590.302,1694.05,1694,2087,2360,1730.1,1730.1,267.506,1184.3,242.279,1694.05,32,1041,unavailable,unavailable,unavailable,unavailable,0,10578023270251871138,EXRBTQ31
dbpedia_openai1536,sequential,32,eager,16,200,128,10,100,0.96592,494.902,2020.6,2026,2490,2776,2161.09,2161.09,267.322,1498.1,255.163,2020.6,32,1041,unavailable,unavailable,unavailable,unavailable,0,10578023270251871138,EXRBTQ31
dbpedia_openai1536,sequential,32,eager,16,200,192,10,100,0.973,387.475,2580.81,2589,3254,3657,2978.98,2978.98,268.781,2052.41,259.567,2580.81,32,1041,unavailable,unavailable,unavailable,unavailable,0,10578023270251871138,EXRBTQ31
dbpedia_openai1536,sequential,32,eager,16,200,256,10,100,0.9767,321.05,3114.78,3130,4005,4478,3749.84,3749.84,267.696,2584.02,262.957,3114.78,32,1041,unavailable,unavailable,unavailable,unavailable,0,10578023270251871138,EXRBTQ31
dbpedia_openai1536,sequential,32,eager,16,200,320,10,100,0.97874,276.221,3620.28,3631,4723,5098,4491.9,4491.9,267.279,3084.61,268.287,3620.28,32,1041,unavailable,unavailable,unavailable,unavailable,0,10578023270251871138,EXRBTQ31
dbpedia_openai1536,sequential,32,eager,16,200,460,10,100,0.98202,212.372,4708.73,4716,6245,6750,6028.31,6028.31,267.655,4162.83,278.096,4708.73,32,1041,unavailable,unavailable,unavailable,unavailable,0,10578023270251871138,EXRBTQ31
dbpedia_openai1536,sequential,32,eager,16,200,640,10,100,0.98374,165.583,6039.27,6079,8107,8771,7889.14,7889.14,267.714,5479.34,292.052,6039.27,32,1041,unavailable,unavailable,unavailable,unavailable,0,10578023270251871138,EXRBTQ31
dbpedia_openai1536,sequential,32,lazy,16,200,32,10,32,0.89512,1217.82,821.142,810,992,1133,790.292,790.292,14.1502,711.975,95.0995,821.142,26.3414,1041,unavailable,unavailable,unavailable,unavailable,0,10578023270251871138,EXRBTQ31
dbpedia_openai1536,sequential,32,lazy,16,200,64,10,64,0.94186,818.906,1221.14,1222,1447,1633,1275.36,1275.36,15.7864,1043.78,161.627,1221.14,27.2192,1041,unavailable,unavailable,unavailable,unavailable,0,10578023270251871138,EXRBTQ31
dbpedia_openai1536,sequential,32,lazy,16,200,96,10,96,0.95868,619.024,1615.45,1619,1931,2094,1730.1,1730.1,14.292,1357.35,243.82,1615.45,27.8118,1041,unavailable,unavailable,unavailable,unavailable,0,10578023270251871138,EXRBTQ31
dbpedia_openai1536,sequential,32,lazy,16,200,128,10,100,0.96592,518.94,1927.01,1932,2333,2483,2161.09,2161.09,14.5002,1656.43,256.058,1927.01,28.2478,1041,unavailable,unavailable,unavailable,unavailable,0,10578023270251871138,EXRBTQ31
dbpedia_openai1536,sequential,32,lazy,16,200,192,10,100,0.973,400.556,2496.53,2504,3113,3289,2978.98,2978.98,14.485,2223.01,258.998,2496.53,28.876,1041,unavailable,unavailable,unavailable,unavailable,0,10578023270251871138,EXRBTQ31
dbpedia_openai1536,sequential,32,lazy,16,200,256,10,100,0.9767,329.308,3036.67,3049,3857,4080,3749.84,3749.84,14.4955,2755.66,266.433,3036.67,29.3126,1041,unavailable,unavailable,unavailable,unavailable,0,10578023270251871138,EXRBTQ31
dbpedia_openai1536,sequential,32,lazy,16,200,320,10,100,0.97874,280.794,3561.32,3564,4593,4873,4491.9,4491.9,14.5589,3278.32,268.354,3561.32,29.654,1041,unavailable,unavailable,unavailable,unavailable,0,10578023270251871138,EXRBTQ31
dbpedia_openai1536,sequential,32,lazy,16,200,460,10,100,0.98202,215.061,4649.84,4646,6118,6505,6028.31,6028.31,14.5893,4353.43,281.702,4649.84,30.173,1041,unavailable,unavailable,unavailable,unavailable,0,10578023270251871138,EXRBTQ31
dbpedia_openai1536,sequential,32,lazy,16,200,640,10,100,0.98374,166.932,5990.46,6020,8005,8596,7889.14,7889.14,14.7275,5682.54,293.051,5990.46,30.6092,1041,unavailable,unavailable,unavailable,unavailable,0,10578023270251871138,EXRBTQ31
dbpedia_openai1536,sequential,64,eager,16,200,32,10,32,0.89658,875.012,1142.84,1130,1348,1514,789.911,789.911,515.783,533.626,93.5104,1142.84,64,1041,unavailable,unavailable,unavailable,unavailable,0,10578023270251871138,EXRBTQ31
dbpedia_openai1536,sequential,64,eager,16,200,64,10,64,0.94256,620.983,1610.35,1603,1919,2138,1274.64,1274.64,524.878,923.87,161.624,1610.35,64,1041,unavailable,unavailable,unavailable,unavailable,0,10578023270251871138,EXRBTQ31
dbpedia_openai1536,sequential,64,eager,16,200,96,10,96,0.9595,502.023,1991.94,1992,2395,2668,1728.82,1728.82,527.611,1221.76,242.573,1991.94,64,1041,unavailable,unavailable,unavailable,unavailable,0,10578023270251871138,EXRBTQ31
dbpedia_openai1536,sequential,64,eager,16,200,128,10,100,0.967,434.601,2300.96,2299,2766,3126,2160.86,2160.86,528.312,1517.2,255.388,2300.96,64,1041,unavailable,unavailable,unavailable,unavailable,0,10578023270251871138,EXRBTQ31
dbpedia_openai1536,sequential,64,eager,16,200,192,10,100,0.97396,348.725,2867.59,2873,3562,4012,2977.76,2977.76,526.965,2080.03,260.511,2867.59,64,1041,unavailable,unavailable,unavailable,unavailable,0,10578023270251871138,EXRBTQ31
dbpedia_openai1536,sequential,64,eager,16,200,256,10,100,0.9775,294.554,3394.97,3409,4292,4773,3750.02,3750.02,523.351,2608.83,262.641,3394.97,64,1041,unavailable,unavailable,unavailable,unavailable,0,10578023270251871138,EXRBTQ31
dbpedia_openai1536,sequential,64,eager,16,200,320,10,100,0.97934,255.655,3911.52,3920,5012,5465,4490.63,4490.63,522.64,3121.64,267.074,3911.52,64,1041,unavailable,unavailable,unavailable,unavailable,0,10578023270251871138,EXRBTQ31
dbpedia_openai1536,sequential,64,eager,16,200,460,10,100,0.98292,200.13,4996.75,5013,6526,7046,6027.77,6027.77,522.602,4195.9,278.051,4996.75,64,1041,unavailable,unavailable,unavailable,unavailable,0,10578023270251871138,EXRBTQ31
dbpedia_openai1536,sequential,64,eager,16,200,640,10,100,0.98456,158.102,6325.01,6361,8401,9052,7889.56,7889.56,522.473,5509.64,292.707,6325.01,64,1041,unavailable,unavailable,unavailable,unavailable,0,10578023270251871138,EXRBTQ31
dbpedia_openai1536,sequential,64,lazy,16,200,32,10,32,0.89658,1082.56,923.734,913,1122,1298,789.911,789.911,14.8646,814.264,94.6951,923.734,40.338,1041,unavailable,unavailable,unavailable,unavailable,0,10578023270251871138,EXRBTQ31
dbpedia_openai1536,sequential,64,lazy,16,200,64,10,64,0.94256,747.38,1338.01,1340,1587,1770,1274.64,1274.64,15.3974,1160.12,162.536,1338.01,43.1426,1041,unavailable,unavailable,unavailable,unavailable,0,10578023270251871138,EXRBTQ31
dbpedia_openai1536,sequential,64,lazy,16,200,96,10,96,0.9595,574.13,1741.76,1748,2063,2236,1728.82,1728.82,15.578,1482.67,243.534,1741.76,45.0998,1041,unavailable,unavailable,unavailable,unavailable,0,10578023270251871138,EXRBTQ31
dbpedia_openai1536,sequential,64,lazy,16,200,128,10,100,0.967,485.535,2059.58,2069,2475,2624,2160.86,2160.86,15.7781,1788.1,255.684,2059.58,46.6076,1041,unavailable,unavailable,unavailable,unavailable,0,10578023270251871138,EXRBTQ31
dbpedia_openai1536,sequential,64,lazy,16,200,192,10,100,0.97396,378.852,2639.55,2657,3260,3442,2977.76,2977.76,15.89,2362.33,261.276,2639.55,48.8392,1041,unavailable,unavailable,unavailable,unavailable,0,10578023270251871138,EXRBTQ31
